NTS	Naval Telecommunications System
DCS	Defense Communications System
DISA	Defense Information Systems Agency
DISN	Defense Information Systems Network
NIPRNET	Unclassified but Sensitive Internet Protocol Router Network
SIPRNET	Secret Internet Protocol Router Network
JWICS	Joint Worldwide Intelligence Communications System
NCTAMS	Navy Computer and Telecommunications Area Master Station
NCTS	Navy Computer and Telecommunications Station
NIOC	Naval Information Operations Command
FLTNOC	Fleet Network Operations Center
AUTODIN	Automatic Digital Network
AMHS	Automated Message Handling System
DMS	Defense Message System
DMDS	Defense Message Distribution System
NAVMACS	Naval Modular Automated Communications System
CO	Commanding Officer
COMMO	Communications Officer
RO	Radio Officer
CWO	Communications Watch Officer
PQS	Personnel Qualification Standards
SOP	Standard Operating Procedure
TPI	Two-Person Integrity
MSL	Master Station Log
CNO	Chief of Naval Operations
ACP	Allied Communications Publication
GENSER	General Service Message
DSSCS	Defense Special Security Communications System(s)
CRITIC	Critical Intelligence Message
FOUO	For Official Use Only
EFTO	Encrypted For Transmission Only
SPECAT	Special Category
COMMSHIFT	Communications Guard Shift
COMMSPOT	Communications Spot Report
PLA	Plain Language Address
AIG	Address Indicator Group
CAD	Collective Address Designator
LMF	Language Media Format
CIC	Content Indicator Code
OSRI	Originating Station’s Routing Indicator
SSN	Station Serial Number
DTG	Date-Time Group
OPSIG	Operating Signal
SSIC	Standard Subject Identification Code
MSGID	Message Identification
AMPN	Amplifying Information
RMKS	Remarks
DECL	Declassification
GMT	Greenwich Mean Time
