Naval message categories covered	GENSER; DSSCS; CRITIC.
GENSER stands for	General Service.
DSSCS stands for	Defense Special Security Communications System(s).
CRITIC message purpose	Report critical information to senior government decision makers (the President).
Originator (definition)	Authority in whose name message is sent; presumed to be the CO.
Drafter (definition)	Person who composes the message.
Releaser (definition)	Designated individual authorized to release messages for transmission.
Special handling markings (list)	Caveat; RD; FRD; LIMDIS; FOUO; EFTO; SPECAT; PERSONAL FOR; NATO RESTRICTED; ALLIED RESTRICTED.
FOUO stands for	For Official Use Only.
EFTO stands for	Encrypted For Transmission Only.
SPECAT stands for	Special Category.
COMMSHIFT stands for	Communications Guard Shift.
COMMSPOT stands for	Communications Spot Report.
PLA stands for	Plain Language Address.
AIG stands for	Address Indicator Group.
CAD stands for	Collective Address Designator.
