GENSER (definition)	Most widely used DoD message format; usually UNCLASSIFIED but can be up to TOP SECRET.
Format Line 1	Transmission Identification.
VZCZC indicates	Start of a message.
Format Line 2	Message Header Information.
Precedence codes	R=Routine; P=Priority; O=Immediate; Z=Flash.
LMF stands for	Language Media Format.
CIC stands for	Content Indicator Code.
OSRI stands for	Originating Station’s Routing Indicator.
SSN stands for	Station Serial Number.
DTG stands for	Date-Time Group.
OPSIG stands for	Operating Signal.
BT means	Break.
SSIC stands for	Standard Subject Identification Code.
MSGID indicates	Message identification for GENSER messages.
SUBJ line	Subject line starts with SUBJ/ and ends with //.
REF codes	CON; DOC; LTR; MSG; TEL.
AMPN means	Amplifying information for references.
RMKS means	Remarks section explains the purpose of the message.
DECL means	Declassification marker for exemption categories.
NNNN indicates	End of a message (after 8 blank lines).
